series,rounds,window,n_years,n_round_targets,mean,within_sd,disagreement,total_sd,iqr,q95,threshold,probability_lower,probability_upper
US three years ahead,Q1,2025–26,2,2,1.9088982045454546,1.426007837784146,0.3656616998848858,1.4725060843030526,1.4633705968395212,4.013187444715958,4.0,0.04850727272727265,0.04850727272727265
US three years ahead,Q1,2025–26,2,2,1.9088982045454546,1.426007837784146,0.3656616998848858,1.4725060843030526,1.4633705968395212,4.013187444715958,5.0,0.00852999999999995,0.04850727272727265
US three years ahead,Q1,2025–26,2,2,1.9088982045454546,1.426007837784146,0.3656616998848858,1.4725060843030526,1.4633705968395212,4.013187444715958,10.0,0.0,0.00068181818181815
US three years ahead,Q1,2010–19,10,10,2.406216298020143,1.294055555432806,0.5308452234002924,1.401318218046586,1.6267210666860368,4.5538209929072755,3.0,0.32910826235733825,0.32910826235733825
US three years ahead,Q1,2010–19,10,10,2.406216298020143,1.294055555432806,0.5308452234002924,1.401318218046586,1.6267210666860368,4.5538209929072755,4.0,0.10426923670952377,0.10426923670952377
US three years ahead,Q1,2010–19,10,10,2.406216298020143,1.294055555432806,0.5308452234002924,1.401318218046586,1.6267210666860368,4.5538209929072755,5.0,0.02954403755244636,0.02954403755244636
US three years ahead,Q1,2010–19,10,10,2.406216298020143,1.294055555432806,0.5308452234002924,1.401318218046586,1.6267210666860368,4.5538209929072755,10.0,0.0,0.007414030310957211
US three years ahead,Q1,2023–26,4,4,1.870017625,1.5747764166730098,0.463465480737445,1.6462926659788755,1.4426288869164439,4.129210142574263,3.0,0.05127068181818178,0.26151454545454544
US three years ahead,Q1,2023–26,4,4,1.870017625,1.5747764166730098,0.463465480737445,1.6462926659788755,1.4426288869164439,4.129210142574263,4.0,0.05127068181818178,0.05127068181818178
US three years ahead,Q1,2023–26,4,4,1.870017625,1.5747764166730098,0.463465480737445,1.6462926659788755,1.4426288869164439,4.129210142574263,5.0,0.0066122727272727,0.05127068181818178
US three years ahead,Q1,2023–26,4,4,1.870017625,1.5747764166730098,0.463465480737445,1.6462926659788755,1.4426288869164439,4.129210142574263,10.0,0.000221818181818175,0.0005627272727272499
ECB longer term,Q1,2006–09,4,4,2.013971283096459,0.6544995975843947,0.24219263955966408,0.6983134616881596,0.797883939170814,3.13830169680906,3.0,0.0617234123449133,0.0617234123449133
ECB longer term,Q1,2006–09,4,4,2.013971283096459,0.6544995975843947,0.24219263955966408,0.6983134616881596,0.797883939170814,3.13830169680906,4.0,0.00481935221633065,0.00481935221633065
ECB longer term,Q1,2006–09,4,4,2.013971283096459,0.6544995975843947,0.24219263955966408,0.6983134616881596,0.797883939170814,3.13830169680906,5.0,0.0,0.00481935221633065
ECB longer term,Q1,2006–09,4,4,2.013971283096459,0.6544995975843947,0.24219263955966408,0.6983134616881596,0.797883939170814,3.13830169680906,10.0,0.0,0.00481935221633065
ECB longer term,Q1,2010–14,5,5,1.7801396390605624,0.7853284493130562,0.2861976047154239,0.8364894320154483,1.019833510739597,3.1593370027135794,3.0,0.06327854372645664,0.06327854372645664
ECB longer term,Q1,2010–14,5,5,1.7801396390605624,0.7853284493130562,0.2861976047154239,0.8364894320154483,1.019833510739597,3.1593370027135794,4.0,0.00490530059278432,0.00490530059278432
ECB longer term,Q1,2010–14,5,5,1.7801396390605624,0.7853284493130562,0.2861976047154239,0.8364894320154483,1.019833510739597,3.1593370027135794,5.0,0.0,0.00490530059278432
ECB longer term,Q1,2010–14,5,5,1.7801396390605624,0.7853284493130562,0.2861976047154239,0.8364894320154483,1.019833510739597,3.1593370027135794,10.0,0.0,0.00490530059278432
ECB longer term,Q1,2015–19,5,5,1.6350413753346225,0.7775576246492071,0.29809873577641344,0.8335152500388852,0.9748988820608803,2.9798115734223516,3.0,0.04705230548397294,0.04705230548397294
ECB longer term,Q1,2015–19,5,5,1.6350413753346225,0.7775576246492071,0.29809873577641344,0.8335152500388852,0.9748988820608803,2.9798115734223516,4.0,0.00426319330988158,0.00426319330988158
ECB longer term,Q1,2015–19,5,5,1.6350413753346225,0.7775576246492071,0.29809873577641344,0.8335152500388852,0.9748988820608803,2.9798115734223516,5.0,0.0,0.00426319330988158
ECB longer term,Q1,2015–19,5,5,1.6350413753346225,0.7775576246492071,0.29809873577641344,0.8335152500388852,0.9748988820608803,2.9798115734223516,10.0,0.0,0.00426319330988158
